номер поста,303
частота анализа,2600 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-28 09:30:00

Результаты анализа поста 303
Время,Частота,Мощность
2025-06-28 09:30:00,2690,-44
2025-06-28 09:35:00,2695,-75
2025-06-28 09:40:00,2670,-68
2025-06-28 09:45:00,2605,-35
2025-06-28 09:50:00,2610,-43
2025-06-28 09:55:00,2640,-55
2025-06-28 10:00:00,2685,-52
2025-06-28 10:05:00,2635,-70
2025-06-28 10:10:00,2640,-53
2025-06-28 10:15:00,2650,-65
2025-06-28 10:20:00,2670,-40
2025-06-28 10:25:00,2630,-39
2025-06-28 10:30:00,2675,-37
2025-06-28 10:35:00,2640,-50
2025-06-28 10:40:00,2675,-65
2025-06-28 10:45:00,2605,-57
2025-06-28 10:50:00,2625,-60
2025-06-28 10:55:00,2700,-67
2025-06-28 11:00:00,2665,-65
2025-06-28 11:05:00,2620,-36
2025-06-28 11:10:00,2660,-65
2025-06-28 11:15:00,2690,-75
2025-06-28 11:20:00,2680,-70
2025-06-28 11:25:00,2655,-71
