номер поста,101
частота анализа,2400 МГц
полоса анализа,20 МГц
длительность буфера анализа,3600
время начала анализа,2025-06-25 08:00:00

Результаты анализа поста 101
Время,Частота,Мощность
2025-06-25 08:05:00,2410, -45
2025-06-25 08:05:00,2415, -50
2025-06-25 08:05:00,2420, -48
2025-06-25 08:15:00,2410, -46
2025-06-25 08:15:00,2430, -52
2025-06-25 08:25:00,2410, -44
2025-06-25 08:25:00,2410, -47
2025-06-25 08:25:00,2450, -55
2025-06-25 08:35:00,2460, -49
2025-06-25 08:35:00,2470, -51
2025-06-25 08:45:00,2410, -43
2025-06-25 08:45:00,2480, -53
2025-06-25 08:55:00,2490, -50
2025-06-25 08:55:00,2490, -48
2025-06-25 09:05:00,2410, -45
2025-06-25 09:05:00,2500, -54
